,location,total_sqft,bath,price,bhk,encoded_loc
116,Electronic City,1100.0,2,42.0,2,68
117,Others,1500.0,2,65.0,3,168
118,Others,1080.0,2,39.0,2,168
119,Ramamurthy Nagar,3500.0,5,150.0,5,181
120,Others,1644.0,3,84.0,3,168
121,Electronic City,910.0,2,40.0,2,68
122,Kothanur,1577.0,3,70.0,3,137
123,Others,1060.0,2,55.0,2,168
124,Others,1280.0,2,69.0,2,168
125,Sarjapur  Road,1025.0,2,36.0,2,186
126,Vijayanagar,1500.0,3,75.5,3,211
127,Raja Rajeshwari Nagar,1295.0,2,43.9,2,178
128,Budigere,1162.0,2,59.9,2,50
129,Sarjapur  Road,1035.0,2,49.2,2,186
130,Attibele,1600.0,4,52.8,4,20
131,Others,1464.0,3,46.0,3,168
132,Hennur Road,1866.0,2,61.58,3,88
133,Others,700.0,1,26.0,2,168
134,Sarjapur,913.0,2,32.0,2,185
135,Kengeri Satellite Town,883.0,2,45.0,2,128
136,Kogilu,1664.0,2,73.95,3,133
137,Kadugodi,1762.0,3,91.45,3,109
138,Jigani,1252.0,3,55.0,3,105
139,Gollarapalya Hosahalli,861.0,2,34.5,2,74
140,Electronics City Phase 1,1490.0,3,78.8,3,70
141,Bisuvanahalli,1075.0,2,46.0,3,45
142,Kalena Agrahara,1200.0,2,40.0,2,113
143,Kaggadasapura,1280.0,2,56.0,3,110
144,Others,1084.0,2,50.0,2,168
145,Kanakpura Road,1017.0,2,51.25,2,119
146,Haralur Road,1027.0,2,44.0,2,82
147,Electronic City Phase II,1069.0,2,45.0,2,69
148,9th Phase JP Nagar,1005.0,2,50.0,2,8
149,Jakkur,1417.0,2,75.0,2,102
150,Others,950.0,2,47.0,2,168
151,Singasandra,1010.0,2,29.5,2,192
152,Kalena Agrahara,1425.0,2,70.0,3,113
153,AECS Layout,1100.0,2,45.0,2,9
154,Kanakpura Road,525.0,1,26.0,1,119
155,Begur,1664.0,4,65.0,4,38
156,Yelahanka,1350.0,2,55.55,2,217
157,Kanakpura Road,1550.0,3,67.0,3,119
158,Malleshpalya,1140.0,2,46.5,2,149
159,Others,850.0,2,27.0,2,168
160,Munnekollal,1170.0,2,52.0,2,153
161,Others,1113.0,2,51.0,2,168
162,Haralur Road,1464.0,3,56.0,3,82
163,Others,1200.0,2,55.0,2,168
164,Kaval Byrasandra,1200.0,2,52.0,2,125
165,Kaggalipura,1150.0,2,55.0,3,111
166,Whitefield,1173.0,2,58.0,2,215
167,Uttarahalli,1020.0,2,45.0,2,206
168,Somasundara Palya,1600.0,3,64.0,3,193
169,Others,1230.0,2,48.0,2,168
170, Devarachikkanahalli,1250.0,2,40.0,2,0
171,Kanakpura Road,525.0,2,21.53,1,119
172,Basaveshwara Nagar,1200.0,2,65.0,2,36
173,Bommasandra,1260.0,3,49.36,3,47
174,Ardendale,1100.0,2,43.25,2,18
175,Harlur,1508.0,2,77.0,2,83
176,Others,1592.0,3,75.0,3,168
177,Akshaya Nagar,1388.0,2,57.0,2,11
178,Electronic City Phase II,630.0,1,28.35,1,69
179,Others,950.0,2,50.0,2,168
180,Magadi Road,1116.0,2,50.0,2,146
181,Bannerghatta Road,500.0,1,18.5,1,35
182,Hennur,1075.0,2,52.0,2,87
183,Bellandur,1205.0,2,66.0,2,40
184,KR Puram,930.0,2,39.0,2,107
185,Balagere,1380.0,2,60.0,2,26
186,Kodigehaali,1166.0,2,55.0,2,131
187,Begur Road,1200.0,2,46.8,2,39
188,Electronic City,1800.0,3,95.0,3,68
189,Jalahalli,1400.0,3,77.0,3,103
190,Anekal,1200.0,1,36.0,2,16
191,Begur Road,1160.0,2,44.0,2,39
192,Kanakpura Road,950.0,2,40.0,2,119
193,Others,1629.0,3,79.0,3,168
194,Raja Rajeshwari Nagar,1145.0,2,45.79,2,178
195,Sompura,825.0,2,33.0,2,194
196,Electronics City Phase 1,1113.27,2,53.0,2,70
197,Others,1460.0,2,58.0,2,168
198,Doddathoguru,1050.0,2,32.0,2,65
199,Dodda Nekkundi,1260.0,2,55.0,2,62
200,Chandapura,1208.0,3,45.0,3,52
201,Battarahalli,1200.0,2,65.0,2,37
202,Others,1185.0,2,38.0,2,168
203,Kengeri,750.0,2,38.0,2,127
204,Kanakpura Road,1550.0,3,64.5,3,119
205,Others,1760.0,3,88.0,3,168
206,Anandapura,1000.0,2,55.0,2,14
207,Bommasandra Industrial Area,1090.0,2,31.48,2,48
208,TC Palaya,1200.0,2,60.0,2,198
209,Budigere,1991.0,4,103.0,3,50
210,Balagere,1590.0,3,79.0,3,26
211,CV Raman Nagar,1120.0,2,55.0,2,51
212,Others,1069.0,2,55.0,2,168
213,Yelenahalli,1240.0,2,47.12,2,219
214,Raja Rajeshwari Nagar,1419.0,2,48.1,2,178
215,Others,1450.0,3,55.0,3,168
216,Others,1630.0,3,68.29,3,168
217,Sarjapur  Road,1670.0,2,57.0,3,186
218,Vittasandra,1404.0,2,71.0,2,214
219,Electronic City,630.0,1,34.65,1,68
220,Hulimavu,1650.0,3,78.0,3,97
221,Raja Rajeshwari Nagar,1295.0,2,55.47,2,178
222,Sarjapur  Road,1346.0,2,74.03,2,186
223,Hormavu,1150.0,2,55.0,2,92
224,Marathahalli,950.0,2,46.96,2,150
225,Harlur,2450.0,3,120.0,3,83
226,Electronic City Phase II,1220.0,2,35.23,3,69
227,Others,850.0,2,30.0,2,168
228,Chikkalasandra,1100.0,2,50.0,2,56
229,Akshaya Nagar,1070.0,2,54.0,2,11
230,Amruthahalli,900.0,2,40.0,2,13
231,Whitefield,1130.0,2,42.16,2,215
232,Others,1200.0,2,62.0,2,168
233,Others,4800.0,4,235.0,4,168
234,Subramanyapura,929.0,2,50.17,2,196
235,Others,1464.0,3,56.0,3,168
236,Others,2000.0,4,99.0,4,168
237,Chikkalasandra,1208.0,2,49.0,2,56
238,Hebbal Kempapura,1130.0,2,60.0,2,85
239,5th Phase JP Nagar,1150.0,3,52.5,2,4
240,Others,1000.0,2,53.0,2,168
241,Yelahanka,1035.0,2,45.0,2,217
242,Kereguddadahalli,950.0,2,32.0,2,129
243,Bisuvanahalli,1075.0,2,36.0,3,45
244,Whitefield,1040.0,2,48.5,2,215
245,Others,1300.0,3,58.0,3,168
246,Hoodi,1545.0,3,68.75,3,89
247,Vidyaranyapura,1062.0,2,38.0,2,210
248,Others,1115.0,2,40.0,2,168
249,JP Nagar,1000.0,2,35.0,2,101
250,Kambipura,883.0,2,45.0,2,115
251,Vittasandra,1246.0,2,67.0,2,214
252,Others,1600.0,4,80.0,4,168
253,Haralur Road,2805.0,5,154.0,4,82
254,Begur Road,1584.0,3,65.0,3,39
255,Hosur Road,1175.0,2,48.0,3,96
256,KR Puram,1155.0,2,42.74,2,107
257,Thanisandra,3000.0,4,120.0,4,200
258,Ramagondanahalli,1251.0,2,47.0,2,180
259,Others,1028.0,2,45.5,2,168
260,Arekere,1222.0,2,45.0,2,19
261,Others,1385.0,2,48.48,3,168
262,HSR Layout,1372.0,2,68.0,2,81
263,Magadi Road,1282.0,2,49.0,3,146
264,Kanakpura Road,1135.0,2,39.73,2,119
265,Whitefield,1500.0,3,61.95,3,215
266,Uttarahalli,1286.0,2,63.0,2,206
267,Kammanahalli,2845.0,5,140.0,5,116
268,Others,1600.0,2,50.0,3,168
269,Hennur Road,1915.0,2,63.77,2,88
270,Munnekollal,1102.0,2,53.67,2,153
271,Yelahanka,1350.0,2,54.0,2,217
272,Banashankari,1200.0,2,42.0,3,27
273,Others,1800.0,1,80.0,2,168
274,Chikkabanavar,950.0,2,40.0,2,55
275,Kanakpura Road,525.0,1,27.25,1,119
276,Attibele,656.0,2,25.0,2,20
277,Others,1080.0,2,50.0,2,168
278,Others,1600.0,3,86.0,3,168
279,Others,1160.0,2,55.0,2,168
280,Vittasandra,1404.0,2,69.3,2,214
281,Banashankari Stage III,1305.0,2,58.7,3,29
282,Others,1200.0,2,65.0,2,168
283,Harlur,1460.0,3,73.0,3,83
284,Gottigere,967.0,2,45.0,2,75
285,Mysore Road,1020.0,2,48.95,2,155
286,Jigani,1020.0,2,40.0,2,105
287,Others,1180.0,2,42.0,2,168
288,Nehru Nagar,961.0,2,38.0,2,164
289,Kanakapura,1419.0,3,75.0,3,118
290,Others,416.0,1,18.5,1,168
291,HSR Layout,1430.0,2,65.0,3,81
292,Others,1260.0,2,45.0,2,168
293,Others,1630.0,3,85.0,3,168
294,Sarjapur  Road,1249.0,3,44.71,3,186
295,Raja Rajeshwari Nagar,1133.0,2,49.07,2,178
296,Bisuvanahalli,1075.0,2,37.0,3,45
297,Vidyaranyapura,1200.0,2,55.0,2,210
298,Thanisandra,1075.0,2,45.8,2,200
299,Kaggadasapura,1140.0,2,40.0,2,110
300,Raja Rajeshwari Nagar,1090.0,2,42.0,2,178
301,R.T. Nagar,1500.0,4,70.0,4,176
302,Kanakapura,711.0,1,36.0,1,118
303,Vasanthapura,1400.0,3,60.0,3,209
304,Kundalahalli,1030.0,2,49.0,2,141
305,Others,1375.0,3,70.0,3,168
306,Hegde Nagar,1050.0,1,56.0,2,86
307,Bellandur,1000.0,2,50.0,2,40
308,Others,469.0,1,25.0,1,168
309,Kambipura,883.0,2,29.0,2,115
310,GM Palaya,1820.0,2,86.0,3,72
311,Singasandra,1440.0,2,65.0,3,192
312,Others,3600.0,4,160.0,6,168
313,Mahadevpura,1225.0,2,48.0,2,147
314,Jalahalli East,750.0,1,40.0,1,104
315,Haralur Road,1194.0,2,47.0,2,82
316,Hennur Road,1500.0,2,62.0,3,88
317,Others,1160.0,2,52.2,2,168
318,Sarjapur,1128.0,2,60.0,2,185
319,Others,1220.0,2,35.23,3,168
320,Sarjapur  Road,1210.0,2,58.0,2,186
321,Kanakpura Road,1100.0,2,58.0,3,119
322,Bommasandra,1200.0,3,46.0,3,47
323,Others,1641.0,3,66.0,3,168
324,Horamavu Agara,1200.0,2,45.0,2,90
325,Raja Rajeshwari Nagar,1260.0,2,67.39,2,178
326,Mahadevpura,1720.0,3,78.0,3,147
327,Yelahanka,1692.5,2,48.13,2,217
328,Yelahanka,1210.0,2,45.98,2,217
329,Bisuvanahalli,1075.0,2,45.0,3,45
330,Raja Rajeshwari Nagar,1141.0,2,38.55,2,178
331,Others,2072.0,3,108.0,3,168
332,JP Nagar,7720.0,2,375.0,5,101
333,Kodichikkanahalli,1190.0,2,57.0,3,130
334,Marathahalli,1019.0,2,49.85,2,150
335,Akshaya Nagar,1250.0,3,40.0,3,11
336,Whitefield,1140.0,2,56.0,2,215
337,Kaggadasapura,1515.0,3,83.3,3,110
338,Hoodi,2118.0,4,111.0,4,89
339,Bannerghatta Road,1380.0,3,58.0,4,35
340,Others,2300.0,3,120.0,3,168
341,Others,1240.0,2,60.0,2,168
342,Others,1230.0,2,43.48,2,168
343,Abbigere,985.0,2,40.39,2,10
344,Electronic City,1125.0,2,32.49,2,68
345,Others,950.0,2,44.0,2,168
346,Kothanur,1580.0,3,76.0,3,137
347,Kammasandra,810.0,2,24.5,2,117
348,Others,1045.0,2,45.0,2,168
349,Begur Road,1500.0,2,54.0,3,39
350,Others,1570.0,3,62.0,3,168
351,Kengeri,1160.0,2,40.61,2,127
352,Hulimavu,1823.0,3,100.0,3,97
353,Electronic City,1094.0,2,42.0,2,68
354,Budigere,1153.0,2,57.0,2,50
355,Others,1325.0,3,57.0,3,168
356,Others,1202.0,2,48.0,2,168
357,Haralur Road,1202.0,2,53.0,2,82
358,Others,1200.0,2,62.5,2,168
359,Kaval Byrasandra,1020.0,2,52.0,2,125
360,Sarjapur,1185.0,2,47.0,2,185
361,Ramagondanahalli,1235.0,2,52.04,2,180
362,Banashankari,1077.0,2,37.64,2,27
363,Kengeri Satellite Town,1415.0,2,66.0,3,128
364,Whitefield,805.0,2,35.0,2,215
365,Others,425.0,1,20.03,1,168
366,Whitefield,1155.0,2,59.95,2,215
367,Anekal,656.0,2,22.0,2,16
368,Others,1100.0,2,48.0,2,168
369,Mahadevpura,1150.0,2,52.0,2,147
370,Electronic City Phase II,2225.0,4,98.88,4,69
371,Thanisandra,1185.0,2,43.51,2,200
372,Others,1750.0,3,85.0,3,168
373,Kudlu,1152.0,2,53.5,2,138
374,5th Phase JP Nagar,1070.0,2,39.0,2,4
375,Uttarahalli,1101.0,2,45.0,2,206
376,Electronic City,1070.0,2,55.0,2,68
377,Vishwapriya Layout,820.0,2,30.0,2,213
378,Banashankari Stage VI,1757.5,2,59.935,2,31
379,Battarahalli,1779.0,3,89.61,3,37
380,Others,1105.0,2,58.0,2,168
381,Whitefield,1650.0,3,60.0,3,215
382,Kammasandra,674.0,2,33.0,2,117
383,Kaggadasapura,1185.0,2,41.0,2,110
384,HSR Layout,1475.0,3,75.0,3,81
385,Gottigere,1618.0,3,82.5,3,75
386,Bannerghatta Road,1556.0,2,59.13,3,35
387,Kaggadasapura,1275.0,2,52.0,2,110
388,Kathriguppe,1400.0,2,77.0,3,124
389,Gottigere,1222.0,2,63.0,2,75
390,Electronic City,940.0,2,41.0,2,68
391,Thanisandra,1185.0,2,42.6,2,200
392,Begur Road,1615.0,3,59.76,3,39
393,7th Phase JP Nagar,1100.0,2,46.0,2,6
394,Arekere,920.0,2,40.0,2,19
395,Others,1602.0,2,75.0,3,168
396,Padmanabhanagar,1176.0,2,62.0,2,169
397,Bhoganhalli,2119.0,4,111.0,4,42
398,Vittasandra,1246.0,2,67.3,2,214
399,Anandapura,1141.0,2,42.79,2,14
400,Yelahanka New Town,650.0,1,33.0,1,218
401,Narayanapura,1566.0,3,83.3,3,162
402,Electronic City,1320.0,2,38.13,3,68
403,Others,1780.0,3,84.83,3,168
404,Varthur,1091.0,2,34.9,2,207
405,7th Phase JP Nagar,918.0,2,50.49,2,6
406,Panathur,1695.0,3,90.0,3,171
407,Kalyan nagar,1375.0,3,75.0,3,114
408,Thanisandra,1114.0,2,39.0,2,200
409,Vasanthapura,1022.0,2,40.0,2,209
410,Hebbal,1000.0,2,45.0,2,84
411,Kanakpura Road,1180.0,2,57.0,2,119
412,Yelachenahalli,1400.0,2,55.0,3,216
413,7th Phase JP Nagar,1040.0,2,39.52,2,6
414,Kadugodi,1198.0,2,58.0,2,109
415,Bisuvanahalli,1075.0,3,36.0,3,45
416,8th Phase JP Nagar,1240.0,3,43.5,3,7
417,Bannerghatta Road,1680.0,2,58.935,2,35
418,Mallasandra,1665.0,3,86.58,3,148
419,Marathahalli,2489.0,3,94.0,3,150
420,Kothannur,1853.0,3,82.0,3,136
421,Electronics City Phase 1,1175.0,2,51.47,2,70
422,Subramanyapura,1200.0,2,52.0,2,196
423,Kodichikkanahalli,995.0,2,41.0,2,130
424,Magadi Road,884.0,2,41.1,2,146
425,Yeshwanthpur,1170.0,2,57.0,2,220
426,KR Puram,1225.0,2,46.55,2,107
427,Electronic City,1342.0,2,73.3,2,68
428,Uttarahalli,1345.0,2,67.0,2,206
429,Kodigehaali,1320.0,3,65.0,3,131
430,Others,1572.0,2,45.0,2,168
431,Raja Rajeshwari Nagar,1140.0,2,49.39,2,178
432,Battarahalli,1300.0,2,50.0,2,37
433,Hosa Road,1652.0,3,85.0,3,93
434,Arekere,1740.0,2,95.0,3,19
435,Electronic City,1360.0,2,71.0,3,68
436,Hosur Road,1145.0,2,60.0,3,96
437,Kanakpura Road,1100.0,3,58.0,3,119
438,Gunjur,1356.0,2,66.0,3,78
439,Others,823.0,2,28.0,2,168
440,TC Palaya,1200.0,2,66.0,3,198
441,Ramamurthy Nagar,1050.0,2,37.0,2,181
442,Whitefield,1116.0,2,51.91,2,215
443,7th Phase JP Nagar,1070.0,2,42.79,2,6
444,Kengeri Satellite Town,930.0,1,30.0,1,128
445,Kanakpura Road,525.0,1,26.0,1,119
446,Mahadevpura,1250.0,2,52.0,2,147
447,Marathahalli,1170.0,2,53.0,2,150
448,Kambipura,1082.0,2,57.5,3,115
449,Others,1001.0,2,33.03,2,168
450,Yelahanka,1590.0,2,54.0,3,217
451,Others,2400.0,2,80.0,3,168
452,Horamavu Banaswadi,1554.0,3,55.0,3,91
453,Marathahalli,1019.0,2,49.86,2,150
454,Uttarahalli,1135.0,2,39.73,3,206
455,Kasavanhalli,1799.0,3,90.0,3,122
456,Whitefield,6151.5,2,304.0,4,215
457,NGR Layout,1020.0,2,45.9,2,156
458,Whitefield,1495.0,2,79.5,2,215
459,Others,1611.0,2,64.44,3,168
460,Uttarahalli,1540.0,3,50.0,3,206
461,Hosa Road,1639.0,3,80.0,3,93
462,Raja Rajeshwari Nagar,1303.0,2,55.79,2,178
463,Brookefield,1440.0,2,68.0,3,49
464,Seegehalli,901.0,2,35.14,2,189
465,Sarjapur,900.0,2,42.0,3,185
466,BEML Layout,1060.0,2,55.0,2,21
467,NGR Layout,1020.0,2,48.45,2,156
468,Varthur,1535.0,3,65.99,3,207
469,Others,530.0,1,20.0,1,168
470,Haralur Road,1464.0,3,56.0,3,82
471,Sarjapur  Road,1115.0,2,50.0,2,186
472,Uttarahalli,1175.0,2,47.0,2,206
473,Marathahalli,1325.0,2,71.55,2,150
474,Electronics City Phase 1,950.0,2,31.0,2,70
475,Rachenahalli,1050.0,2,52.07,2,177
476,Thanisandra,1825.0,3,100.0,3,200
477,7th Phase JP Nagar,1190.0,2,49.98,2,6
478,Marathahalli,1220.0,2,56.5,2,150
479,NRI Layout,1565.0,2,75.0,3,157
480,Others,900.0,2,27.0,2,168
481,Hosa Road,1161.0,2,55.15,2,93
482,ITPL,1200.0,3,56.12,3,99
483,Somasundara Palya,1255.0,2,67.0,2,193
484,Raja Rajeshwari Nagar,600.0,1,22.0,1,178
485,Harlur,1033.0,2,49.0,2,83
486,Horamavu Banaswadi,1611.0,3,66.0,3,91
487,Electronic City Phase II,1400.0,2,40.43,3,69
488,Vidyaranyapura,1485.0,2,67.0,3,210
489,Margondanahalli,2400.0,2,82.0,2,151
490,Pattandur Agrahara,1025.0,2,44.5,2,173
491,Others,1225.0,2,53.0,2,168
492,5th Phase JP Nagar,1256.0,2,62.8,2,4
493,Kanakpura Road,1100.0,3,53.0,3,119
494,Others,1141.0,2,62.0,2,168
495,Attibele,400.0,1,12.0,1,20
496,Chandapura,1400.0,2,60.0,2,52
497,Others,1175.0,2,48.27,2,168
498,Sahakara Nagar,1100.0,2,56.0,2,183
499,Kanakpura Road,1843.0,3,95.84,3,119
500,Rachenahalli,1530.0,2,74.5,3,177
501,HSR Layout,1467.0,2,55.0,2,81
502,Others,950.0,1,40.0,1,168
503,Vittasandra,1246.0,2,64.5,2,214
504,Kanakapura,711.0,1,38.0,1,118
505,Haralur Road,1194.0,2,46.0,2,82
506,Babusapalaya,1358.0,2,43.4,3,24
507,Hoodi,1420.0,2,75.0,2,89
508,Kathriguppe,1250.0,2,68.75,3,124
509,Akshaya Nagar,1280.0,2,58.0,2,11
510,Others,1209.0,2,50.0,2,168
511,Others,4200.0,5,225.0,5,168
512,Panathur,1315.0,2,54.8,3,171
513,Others,1800.0,3,90.0,3,168
514,TC Palaya,1600.0,2,65.0,3,198
515,Others,1563.0,3,52.0,3,168
516,Whitefield,1560.0,2,72.0,3,215
517,Brookefield,2169.0,4,115.0,3,49
518,Rachenahalli,1050.0,2,55.5,2,177
519,TC Palaya,1200.0,3,66.0,3,198
520,HSR Layout,1140.0,2,46.0,2,81
521,Horamavu Agara,1560.0,3,75.0,3,90
522,Kasavanhalli,1260.0,2,40.32,3,122
523,Hebbal,1036.0,2,50.0,2,84
524,Akshaya Nagar,1662.0,3,85.1,3,11
525,Sarjapur  Road,1403.0,3,55.0,3,186
526,Seegehalli,1150.0,2,42.9,3,189
527,Kanakapura,929.0,2,46.0,2,118
528,Vasanthapura,1135.0,2,39.73,2,209
529,Others,1405.0,2,70.0,2,168
530,Whitefield,1200.0,2,45.84,2,215
531,Haralur Road,2805.0,4,154.0,4,82
532,Old Madras Road,1350.0,3,54.54,3,167
533,Kadugodi,1580.0,2,65.0,3,109
534,Sarjapur  Road,1346.0,2,61.92,2,186
535,Others,1200.0,2,35.0,2,168
536,Channasandra,1340.0,2,48.33,3,53
537,Jigani,918.0,2,48.0,2,105
538,Uttarahalli,1390.0,2,62.55,3,206
539,Uttarahalli,1330.0,2,56.0,3,206
540,Jalahalli East,1260.0,2,60.0,3,104
541,Others,1060.0,2,42.0,2,168
542,Haralur Road,1225.0,2,67.38,2,82
543,Electronic City,880.0,2,29.0,2,68
544,Thanisandra,1240.0,2,62.0,3,200
545,Kanakpura Road,1500.0,2,69.0,2,119
546,Haralur Road,1243.0,2,46.0,2,82
547,Marathahalli,1575.0,3,78.0,3,150
548,Haralur Road,1027.0,2,44.0,2,82
549,Kambipura,1082.0,2,56.0,3,115
550,Konanakunte,1637.0,3,73.0,3,134
551,Kanakpura Road,1665.0,3,86.58,3,119
552,Electronic City,1265.0,2,56.93,2,68
553,Thanisandra,1100.0,2,38.0,2,200
554,Others,1500.0,3,62.0,3,168
555,Choodasandra,1115.0,2,50.0,2,57
556,Mysore Road,1070.0,2,45.0,2,155
557,Budigere,1162.0,2,57.0,2,50
558,Others,1339.0,2,55.0,2,168
559,Hennur,1255.0,2,52.32,2,87
560,Others,1600.0,3,75.0,3,168
561,Others,1225.0,2,55.11,2,168
562,Kasturi Nagar,1570.0,3,80.0,3,123
563,Vittasandra,1246.0,2,64.5,2,214
564,Whitefield,1985.0,3,75.0,3,215
565,Hosakerehalli,1590.0,3,49.0,3,94
566,Electronic City Phase II,775.0,2,38.0,2,69
567,Others,1000.0,2,50.0,2,168
568,Bommasandra,1035.0,2,41.0,2,47
569,Dasarahalli,1520.0,2,75.0,3,60
570,Kodigehaali,1117.0,2,56.0,2,131
571,Neeladri Nagar,1053.0,2,45.0,2,163
572,Marathahalli,1152.0,2,56.0,2,150
573,Frazer Town,1625.0,2,75.0,2,71
574,Kambipura,883.0,2,45.0,2,115
575,Kaggalipura,700.0,1,38.0,1,111
576,Yelahanka,1170.0,2,62.5,2,217
577,Kanakpura Road,1200.0,2,42.0,3,119
578,Others,1480.0,2,65.0,2,168
579,Yelahanka,2172.5,3,65.255,3,217
580,Sarjapur  Road,710.0,1,27.0,1,186
581,Others,910.0,2,30.5,2,168
582,Sompura,1025.0,2,48.0,3,194
583,Magadi Road,1442.0,2,46.5,2,146
